"","mgi_symbol","description"
"ENSMUSG00000015697","Setdb1","SET domain, bifurcated 1 [Source:MGI Symbol;Acc:MGI:1934229]"
"ENSMUSG00000015745","Plekho1","pleckstrin homology domain containing, family O member 1 [Source:MGI Symbol;Acc:MGI:1914470]"
"ENSMUSG00000015747","Vps45","vacuolar protein sorting 45 [Source:MGI Symbol;Acc:MGI:891965]"
"ENSMUSG00000015748","Prpf3","pre-mRNA processing factor 3 [Source:MGI Symbol;Acc:MGI:1918017]"
"ENSMUSG00000015749","Anp32e","acidic nuclear phosphoprotein 32 family member E [Source:MGI Symbol;Acc:MGI:1913721]"
"ENSMUSG00000015750","Aph1a","aph1 homolog A, gamma secretase subunit [Source:MGI Symbol;Acc:MGI:2385110]"
"ENSMUSG00000015776","Med22","mediator complex subunit 22 [Source:MGI Symbol;Acc:MGI:98446]"
"ENSMUSG00000015790","Surf1","surfeit gene 1 [Source:MGI Symbol;Acc:MGI:98443]"
"ENSMUSG00000015829","Tnr","tenascin R [Source:MGI Symbol;Acc:MGI:99516]"
"ENSMUSG00000015839","Nfe2l2","nuclear factor, erythroid derived 2, like 2 [Source:MGI Symbol;Acc:MGI:108420]"
"ENSMUSG00000015846","Rxra","retinoid X receptor alpha [Source:MGI Symbol;Acc:MGI:98214]"
"ENSMUSG00000015850","Adamtsl4","ADAMTS-like 4 [Source:MGI Symbol;Acc:MGI:2389008]"
"ENSMUSG00000015854","Cd5l","CD5 antigen-like [Source:MGI Symbol;Acc:MGI:1334419]"
"ENSMUSG00000015932","Dstn","destrin [Source:MGI Symbol;Acc:MGI:1929270]"
"ENSMUSG00000015943","Bola1","bolA family member 1 [Source:MGI Symbol;Acc:MGI:1916418]"
"ENSMUSG00000015961","Adss2","adenylosuccinate synthase 2 [Source:MGI Symbol;Acc:MGI:87948]"
"ENSMUSG00000015962","Spmip3","sperm microtubule inner protein 3 [Source:MGI Symbol;Acc:MGI:1916678]"
"ENSMUSG00000016024","Lbp","lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776]"
"ENSMUSG00000016150","Tenm1","teneurin transmembrane protein 1 [Source:MGI Symbol;Acc:MGI:1345185]"
"ENSMUSG00000016179","Camk1g","calcium/calmodulin-dependent protein kinase I gamma [Source:MGI Symbol;Acc:MGI:2388073]"
"ENSMUSG00000016181","Utp25","UTP25 small subunit processome component [Source:MGI Symbol;Acc:MGI:2138080]"
"ENSMUSG00000016194","Hsd11b1","hydroxysteroid 11-beta dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:103562]"
"ENSMUSG00000016200","Syt14","synaptotagmin XIV [Source:MGI Symbol;Acc:MGI:2444490]"
"ENSMUSG00000016239","Lonrf3","LON peptidase N-terminal domain and ring finger 3 [Source:MGI Symbol;Acc:MGI:1921615]"
"ENSMUSG00000016252","Atp5f1e","ATP synthase F1 subunit epsilon [Source:MGI Symbol;Acc:MGI:1855697]"
"ENSMUSG00000016253","Nelfcd","negative elongation factor complex member C/D, Th1l [Source:MGI Symbol;Acc:MGI:1926424]"
"ENSMUSG00000016256","Ctsz","cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]"
"ENSMUSG00000016257","Prelid3b","PRELI domain containing 3B [Source:MGI Symbol;Acc:MGI:1913640]"
"ENSMUSG00000016262","Sertad4","SERTA domain containing 4 [Source:MGI Symbol;Acc:MGI:2443496]"
"ENSMUSG00000016308","Ube2a","ubiquitin-conjugating enzyme E2A [Source:MGI Symbol;Acc:MGI:102959]"
"ENSMUSG00000016319","Slc25a5","solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]"
"ENSMUSG00000016344","Ppdpf","pancreatic progenitor cell differentiation and proliferation factor [Source:MGI Symbol;Acc:MGI:1913746]"
"ENSMUSG00000016356","Col20a1","collagen, type XX, alpha 1 [Source:MGI Symbol;Acc:MGI:1920618]"
"ENSMUSG00000016382","Pls3","plastin 3 (T-isoform) [Source:MGI Symbol;Acc:MGI:104807]"
"ENSMUSG00000016409","Nkap","NFKB activating protein [Source:MGI Symbol;Acc:MGI:1914300]"
"ENSMUSG00000016427","Ndufa1","NADH:ubiquinone oxidoreductase subunit A1 [Source:MGI Symbol;Acc:MGI:1929511]"
"ENSMUSG00000016481","Cr1l","complement C3b/C4b receptor 1 like [Source:MGI Symbol;Acc:MGI:88513]"
"ENSMUSG00000016493","Cd46","CD46 antigen, complement regulatory protein [Source:MGI Symbol;Acc:MGI:1203290]"
"ENSMUSG00000016494","Cd34","CD34 antigen [Source:MGI Symbol;Acc:MGI:88329]"
"ENSMUSG00000016526","Dyrk3","dual-specificity tyrosine phosphorylation regulated kinase 3 [Source:MGI Symbol;Acc:MGI:1330300]"
"ENSMUSG00000016528","Mapkapk2","MAP kinase-activated protein kinase 2 [Source:MGI Symbol;Acc:MGI:109298]"
"ENSMUSG00000016534","Lamp2","lysosomal-associated membrane protein 2 [Source:MGI Symbol;Acc:MGI:96748]"
"ENSMUSG00000016921","Srsf6","serine and arginine-rich splicing factor 6 [Source:MGI Symbol;Acc:MGI:1915246]"
"ENSMUSG00000016933","Plcg1","phospholipase C, gamma 1 [Source:MGI Symbol;Acc:MGI:97615]"
"ENSMUSG00000016995","Matn4","matrilin 4 [Source:MGI Symbol;Acc:MGI:1328314]"
"ENSMUSG00000017002","Slpi","secretory leukocyte peptidase inhibitor [Source:MGI Symbol;Acc:MGI:109297]"
"ENSMUSG00000017007","Rbpjl","recombination signal binding protein for immunoglobulin kappa J region-like [Source:MGI Symbol;Acc:MGI:1196616]"
"ENSMUSG00000017009","Sdc4","syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]"
"ENSMUSG00000017057","Il13ra1","interleukin 13 receptor, alpha 1 [Source:MGI Symbol;Acc:MGI:105052]"
"ENSMUSG00000017144","Rnd3","Rho family GTPase 3 [Source:MGI Symbol;Acc:MGI:1921444]"
"ENSMUSG00000017299","Dnttip1","deoxynucleotidyltransferase, terminal, interacting protein 1 [Source:MGI Symbol;Acc:MGI:1923483]"
"ENSMUSG00000017307","Acot8","acyl-CoA thioesterase 8 [Source:MGI Symbol;Acc:MGI:2158201]"
"ENSMUSG00000017412","Cacnb4","calcium channel, voltage-dependent, beta 4 subunit [Source:MGI Symbol;Acc:MGI:103301]"
"ENSMUSG00000017418","Arl5b","ADP-ribosylation factor-like 5B [Source:MGI Symbol;Acc:MGI:1923119]"
"ENSMUSG00000017664","Slc35c2","solute carrier family 35, member C2 [Source:MGI Symbol;Acc:MGI:2385166]"
"ENSMUSG00000017667","Zfp334","zinc finger protein 334 [Source:MGI Symbol;Acc:MGI:2388656]"
"ENSMUSG00000017670","Elmo2","engulfment and cell motility 2 [Source:MGI Symbol;Acc:MGI:2153045]"
"ENSMUSG00000017679","Ttpal","tocopherol (alpha) transfer protein-like [Source:MGI Symbol;Acc:MGI:1923330]"
"ENSMUSG00000017688","Hnf4g","hepatocyte nuclear factor 4, gamma [Source:MGI Symbol;Acc:MGI:1353604]"
"ENSMUSG00000017697","Ada","adenosine deaminase [Source:MGI Symbol;Acc:MGI:87916]"
"ENSMUSG00000017707","Serinc3","serine incorporator 3 [Source:MGI Symbol;Acc:MGI:1349457]"
"ENSMUSG00000017720","Trp53tg5","transformation related protein 53 target 5 [Source:MGI Symbol;Acc:MGI:1920853]"
"ENSMUSG00000017721","Pigt","phosphatidylinositol glycan anchor biosynthesis, class T [Source:MGI Symbol;Acc:MGI:1926178]"
"ENSMUSG00000017723","Wfdc2","WAP four-disulfide core domain 2 [Source:MGI Symbol;Acc:MGI:1914951]"
"ENSMUSG00000017733","Eppin","epididymal peptidase inhibitor [Source:MGI Symbol;Acc:MGI:1922776]"
"ENSMUSG00000017734","Dbndd2","dysbindin domain containing 2 [Source:MGI Symbol;Acc:MGI:106562]"
"ENSMUSG00000017737","Mmp9","matrix metallopeptidase 9 [Source:MGI Symbol;Acc:MGI:97011]"
"ENSMUSG00000017740","Slc12a5","solute carrier family 12, member 5 [Source:MGI Symbol;Acc:MGI:1862037]"
"ENSMUSG00000017754","Pltp","phospholipid transfer protein [Source:MGI Symbol;Acc:MGI:103151]"
"ENSMUSG00000017760","Ctsa","cathepsin A [Source:MGI Symbol;Acc:MGI:97748]"
"ENSMUSG00000017764","Zswim1","zinc finger SWIM-type containing 1 [Source:MGI Symbol;Acc:MGI:1919221]"
"ENSMUSG00000017767","Spata25","spermatogenesis associated 25 [Source:MGI Symbol;Acc:MGI:1922892]"
"ENSMUSG00000017817","Jph2","junctophilin 2 [Source:MGI Symbol;Acc:MGI:1891496]"
"ENSMUSG00000017858","Ift52","intraflagellar transport 52 [Source:MGI Symbol;Acc:MGI:2387217]"
"ENSMUSG00000017861","Mybl2","myeloblastosis oncogene-like 2 [Source:MGI Symbol;Acc:MGI:101785]"
"ENSMUSG00000017868","Sgk2","serum/glucocorticoid regulated kinase 2 [Source:MGI Symbol;Acc:MGI:1351318]"
"ENSMUSG00000017897","Eya2","EYA transcriptional coactivator and phosphatase 2 [Source:MGI Symbol;Acc:MGI:109341]"
"ENSMUSG00000017929","B4galt5","UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5 [Source:MGI Symbol;Acc:MGI:1927169]"
"ENSMUSG00000017943","Gdap1l1","ganglioside-induced differentiation-associated protein 1-like 1 [Source:MGI Symbol;Acc:MGI:2385163]"
"ENSMUSG00000017950","Hnf4a","hepatic nuclear factor 4, alpha [Source:MGI Symbol;Acc:MGI:109128]"
"ENSMUSG00000017999","Ddx27","DEAD box helicase 27 [Source:MGI Symbol;Acc:MGI:2385884]"
"ENSMUSG00000018189","Uchl5","ubiquitin carboxyl-terminal esterase L5 [Source:MGI Symbol;Acc:MGI:1914848]"
"ENSMUSG00000018196","Glrx2","glutaredoxin 2 [Source:MGI Symbol;Acc:MGI:1916617]"
"ENSMUSG00000018199","Ro60","Ro60, Y RNA binding protein [Source:MGI Symbol;Acc:MGI:106652]"
"ENSMUSG00000018209","Stk4","serine/threonine kinase 4 [Source:MGI Symbol;Acc:MGI:1929004]"
"ENSMUSG00000018322","Tomm34","translocase of outer mitochondrial membrane 34 [Source:MGI Symbol;Acc:MGI:1914395]"
"ENSMUSG00000018326","Ywhab","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Source:MGI Symbol;Acc:MGI:1891917]"
"ENSMUSG00000018417","Myo1b","myosin IB [Source:MGI Symbol;Acc:MGI:107752]"
"ENSMUSG00000018595","Glra4","glycine receptor, alpha 4 subunit [Source:MGI Symbol;Acc:MGI:95750]"
"ENSMUSG00000018770","Atp5mc3","ATP synthase membrane subunit c locus 3 [Source:MGI Symbol;Acc:MGI:2442035]"
"ENSMUSG00000019087","Atp6ap1","ATPase, H+ transporting, lysosomal accessory protein 1 [Source:MGI Symbol;Acc:MGI:109629]"
"ENSMUSG00000019088","Dnase1l1","deoxyribonuclease 1-like 1 [Source:MGI Symbol;Acc:MGI:109628]"
"ENSMUSG00000019188","H13","histocompatibility 13 [Source:MGI Symbol;Acc:MGI:95886]"
"ENSMUSG00000019230","Lhx9","LIM homeobox protein 9 [Source:MGI Symbol;Acc:MGI:1316721]"
"ENSMUSG00000019558","Slc6a8","solute carrier family 6 (neurotransmitter transporter, creatine), member 8 [Source:MGI Symbol;Acc:MGI:2147834]"
"ENSMUSG00000019699","Akt3","thymoma viral proto-oncogene 3 [Source:MGI Symbol;Acc:MGI:1345147]"
"ENSMUSG00000019715","Gle1","GLE1 RNA export mediator [Source:MGI Symbol;Acc:MGI:1921662]"
"ENSMUSG00000020423","Btg2","BTG anti-proliferation factor 2 [Source:MGI Symbol;Acc:MGI:108384]"
"ENSMUSG00000022995","Enah","ENAH actin regulator [Source:MGI Symbol;Acc:MGI:108360]"
"ENSMUSG00000023074","Mospd1","motile sperm domain containing 1 [Source:MGI Symbol;Acc:MGI:1917630]"
"ENSMUSG00000023092","Fhl1","four and a half LIM domains 1 [Source:MGI Symbol;Acc:MGI:1298387]"
"ENSMUSG00000023094","Msrb2","methionine sulfoxide reductase B2 [Source:MGI Symbol;Acc:MGI:1923717]"
"ENSMUSG00000023150","Ivns1abp","influenza virus NS1A binding protein [Source:MGI Symbol;Acc:MGI:2152389]"
"ENSMUSG00000023206","Il15ra","interleukin 15 receptor, alpha chain [Source:MGI Symbol;Acc:MGI:104644]"
"ENSMUSG00000023216","Epb42","erythrocyte membrane protein band 4.2 [Source:MGI Symbol;Acc:MGI:95402]"
"ENSMUSG00000023236","Scg5","secretogranin V [Source:MGI Symbol;Acc:MGI:98289]"
"ENSMUSG00000023330","Dtwd1","DTW domain containing 1 [Source:MGI Symbol;Acc:MGI:1916435]"
"ENSMUSG00000023391","Dlx2","distal-less homeobox 2 [Source:MGI Symbol;Acc:MGI:94902]"
"ENSMUSG00000023393","Slc17a9","solute carrier family 17, member 9 [Source:MGI Symbol;Acc:MGI:1919107]"
"ENSMUSG00000023443","Esx1","extraembryonic, spermatogenesis, homeobox 1 [Source:MGI Symbol;Acc:MGI:1096388]"
"ENSMUSG00000023572","Ccndbp1","cyclin D-type binding-protein 1 [Source:MGI Symbol;Acc:MGI:109595]"
"ENSMUSG00000025037","Maoa","monoamine oxidase A [Source:MGI Symbol;Acc:MGI:96915]"
"ENSMUSG00000025038","Efhc2","EF-hand domain (C-terminal) containing 2 [Source:MGI Symbol;Acc:MGI:1921655]"
"ENSMUSG00000025040","Fundc1","FUN14 domain containing 1 [Source:MGI Symbol;Acc:MGI:1919268]"
"ENSMUSG00000025059","Gk","glycerol kinase [Source:MGI Symbol;Acc:MGI:106594]"
"ENSMUSG00000025151","Maged1","MAGE family member D1 [Source:MGI Symbol;Acc:MGI:1930187]"
"ENSMUSG00000025201","Bloc1s2-ps","biogenesis of lysosomal organelles complex-1, subunit 2, pseudogene [Source:MGI Symbol;Acc:MGI:3702045]"
"ENSMUSG00000025246","Tbl1x","transducin (beta)-like 1 X-linked [Source:MGI Symbol;Acc:MGI:1336172]"
"ENSMUSG00000025255","Zfhx4","zinc finger homeodomain 4 [Source:MGI Symbol;Acc:MGI:2137668]"
"ENSMUSG00000025257","Ribc1","RIB43A domain with coiled-coils 1 [Source:MGI Symbol;Acc:MGI:1913861]"
"ENSMUSG00000025260","Hsd17b10","hydroxysteroid (17-beta) dehydrogenase 10 [Source:MGI Symbol;Acc:MGI:1333871]"
"ENSMUSG00000025261","Huwe1","HECT, UBA and WWE domain containing 1 [Source:MGI Symbol;Acc:MGI:1926884]"
"ENSMUSG00000025262","Fam120c","family with sequence similarity 120, member C [Source:MGI Symbol;Acc:MGI:2387687]"
"ENSMUSG00000025264","Tsr2","TSR2 20S rRNA accumulation [Source:MGI Symbol;Acc:MGI:1916749]"
"ENSMUSG00000025265","Fgd1","FYVE, RhoGEF and PH domain containing 1 [Source:MGI Symbol;Acc:MGI:104566]"
"ENSMUSG00000025266","Gnl3l","guanine nucleotide binding protein nucleolar 3 like [Source:MGI Symbol;Acc:MGI:2448557]"
"ENSMUSG00000025268","Maged2","MAGE family member D2 [Source:MGI Symbol;Acc:MGI:1933391]"
"ENSMUSG00000025269","Apex2","apurinic/apyrimidinic endonuclease 2 [Source:MGI Symbol;Acc:MGI:1924872]"
"ENSMUSG00000025270","Alas2","aminolevulinic acid synthase 2, erythroid [Source:MGI Symbol;Acc:MGI:87990]"
"ENSMUSG00000025271","Pfkfb1","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1 [Source:MGI Symbol;Acc:MGI:107816]"
"ENSMUSG00000025283","Sat1","spermidine/spermine N1-acetyl transferase 1 [Source:MGI Symbol;Acc:MGI:98233]"
"ENSMUSG00000025287","Acot9","acyl-CoA thioesterase 9 [Source:MGI Symbol;Acc:MGI:1928939]"
"ENSMUSG00000025289","Prdx4","peroxiredoxin 4 [Source:MGI Symbol;Acc:MGI:1859815]"
"ENSMUSG00000025314","Ptprj","protein tyrosine phosphatase receptor type J [Source:MGI Symbol;Acc:MGI:104574]"
"ENSMUSG00000025332","Kdm5c","lysine demethylase 5C [Source:MGI Symbol;Acc:MGI:99781]"
"ENSMUSG00000025437","Usp33","ubiquitin specific peptidase 33 [Source:MGI Symbol;Acc:MGI:2159711]"
"ENSMUSG00000025525","Apool","apolipoprotein O-like [Source:MGI Symbol;Acc:MGI:1915367]"
"ENSMUSG00000025531","Chm","CHM Rab escort protein [Source:MGI Symbol;Acc:MGI:892979]"
"ENSMUSG00000025592","Dach2","dachshund family transcription factor 2 [Source:MGI Symbol;Acc:MGI:1890446]"
"ENSMUSG00000025626","Phf6","PHD finger protein 6 [Source:MGI Symbol;Acc:MGI:1918248]"
"ENSMUSG00000025630","Hprt1","hypoxanthine phosphoribosyltransferase 1 [Source:MGI Symbol;Acc:MGI:96217]"
"ENSMUSG00000025656","Arhgef9","CDC42 guanine nucleotide exchange factor 9 [Source:MGI Symbol;Acc:MGI:2442233]"
"ENSMUSG00000025658","Cnksr2","connector enhancer of kinase suppressor of Ras 2 [Source:MGI Symbol;Acc:MGI:2661175]"
"ENSMUSG00000025666","Tmem47","transmembrane protein 47 [Source:MGI Symbol;Acc:MGI:2177570]"
"ENSMUSG00000025742","Prps2","phosphoribosyl pyrophosphate synthetase 2 [Source:MGI Symbol;Acc:MGI:97776]"
"ENSMUSG00000025762","Larp1b","La ribonucleoprotein 1B [Source:MGI Symbol;Acc:MGI:1914604]"
"ENSMUSG00000025766","D3Ertd751e","DNA segment, Chr 3, ERATO Doi 751, expressed [Source:MGI Symbol;Acc:MGI:1289213]"
"ENSMUSG00000025779","Ly96","lymphocyte antigen 96 [Source:MGI Symbol;Acc:MGI:1341909]"
"ENSMUSG00000025780","Itih5","inter-alpha-trypsin inhibitor, heavy chain 5 [Source:MGI Symbol;Acc:MGI:1925751]"
"ENSMUSG00000025781","Atp5f1c","ATP synthase F1 subunit gamma [Source:MGI Symbol;Acc:MGI:1261437]"
"ENSMUSG00000025782","Taf3","TATA-box binding protein associated factor 3 [Source:MGI Symbol;Acc:MGI:2388097]"
"ENSMUSG00000025815","Dhtkd1","dehydrogenase E1 and transketolase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445096]"
"ENSMUSG00000025816","Sec61a2","SEC61 translocon subunit alpha 2 [Source:MGI Symbol;Acc:MGI:1931071]"
"ENSMUSG00000025817","Nudt5","nudix hydrolase 5 [Source:MGI Symbol;Acc:MGI:1858232]"
"ENSMUSG00000025860","Xiap","X-linked inhibitor of apoptosis [Source:MGI Symbol;Acc:MGI:107572]"
"ENSMUSG00000025862","Stag2","STAG2 cohesin complex component [Source:MGI Symbol;Acc:MGI:1098583]"
"ENSMUSG00000025900","Rp1","retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105]"
"ENSMUSG00000025902","Sox17","SRY (sex determining region Y)-box 17 [Source:MGI Symbol;Acc:MGI:107543]"
"ENSMUSG00000025903","Lypla1","lysophospholipase 1 [Source:MGI Symbol;Acc:MGI:1344588]"
"ENSMUSG00000025905","Oprk1","opioid receptor, kappa 1 [Source:MGI Symbol;Acc:MGI:97439]"
"ENSMUSG00000025907","Rb1cc1","RB1-inducible coiled-coil 1 [Source:MGI Symbol;Acc:MGI:1341850]"
"ENSMUSG00000025911","Adhfe1","alcohol dehydrogenase, iron containing, 1 [Source:MGI Symbol;Acc:MGI:1923437]"
"ENSMUSG00000025912","Mybl1","myeloblastosis oncogene-like 1 [Source:MGI Symbol;Acc:MGI:99925]"
"ENSMUSG00000025915","Sgk3","serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol;Acc:MGI:2182368]"
"ENSMUSG00000025916","Ppp1r42","protein phosphatase 1, regulatory subunit 42 [Source:MGI Symbol;Acc:MGI:1921138]"
"ENSMUSG00000025917","Cops5","COP9 signalosome subunit 5 [Source:MGI Symbol;Acc:MGI:1349415]"
"ENSMUSG00000025920","Stau2","staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]"
"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans) [Source:MGI Symbol;Acc:MGI:1924238]"
"ENSMUSG00000025925","Terf1","telomeric repeat binding factor 1 [Source:MGI Symbol;Acc:MGI:109634]"
"ENSMUSG00000025931","Paqr8","progestin and adipoQ receptor family member VIII [Source:MGI Symbol;Acc:MGI:1921479]"
"ENSMUSG00000025932","Eya1","EYA transcriptional coactivator and phosphatase 1 [Source:MGI Symbol;Acc:MGI:109344]"
"ENSMUSG00000025933","Tmem14a","transmembrane protein 14A [Source:MGI Symbol;Acc:MGI:1922962]"
"ENSMUSG00000025934","Gsta3","glutathione S-transferase, alpha 3 [Source:MGI Symbol;Acc:MGI:95856]"
"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1 [Source:MGI Symbol;Acc:MGI:1919515]"
"ENSMUSG00000025937","Lactb2","lactamase, beta 2 [Source:MGI Symbol;Acc:MGI:2442551]"
"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1 [Source:MGI Symbol;Acc:MGI:2443431]"
"ENSMUSG00000025939","Ube2w","ubiquitin-conjugating enzyme E2W (putative) [Source:MGI Symbol;Acc:MGI:1914049]"
"ENSMUSG00000025940","Tmem70","transmembrane protein 70 [Source:MGI Symbol;Acc:MGI:1915068]"
"ENSMUSG00000025946","Pth2r","parathyroid hormone 2 receptor [Source:MGI Symbol;Acc:MGI:2180917]"
"ENSMUSG00000025949","Pikfyve","phosphoinositide kinase, FYVE type zinc finger containing [Source:MGI Symbol;Acc:MGI:1335106]"
"ENSMUSG00000025950","Idh1","isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"
"ENSMUSG00000025956","Mettl21a","methyltransferase 21A, HSPA lysine [Source:MGI Symbol;Acc:MGI:1914349]"
"ENSMUSG00000025958","Creb1","cAMP responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:88494]"
"ENSMUSG00000025959","Klf7","Kruppel-like transcription factor 7 (ubiquitous) [Source:MGI Symbol;Acc:MGI:1935151]"
"ENSMUSG00000025961","4933402D24Rik","RIKEN cDNA 4933402D24 gene [Source:MGI Symbol;Acc:MGI:1921676]"
"ENSMUSG00000025962","Fastkd2","FAST kinase domains 2 [Source:MGI Symbol;Acc:MGI:1922869]"
"ENSMUSG00000025963","Mdh1b","malate dehydrogenase 1B, NAD (soluble) [Source:MGI Symbol;Acc:MGI:1923918]"
"ENSMUSG00000025964","Adam23","a disintegrin and metallopeptidase domain 23 [Source:MGI Symbol;Acc:MGI:1345162]"
"ENSMUSG00000025967","Eef1b2","eukaryotic translation elongation factor 1 beta 2 [Source:MGI Symbol;Acc:MGI:1929520]"
"ENSMUSG00000025968","Ndufs1","NADH:ubiquinone oxidoreductase core subunit S1 [Source:MGI Symbol;Acc:MGI:2443241]"
"ENSMUSG00000025969","Nrp2","neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]"
"ENSMUSG00000025971","Maip1","matrix AAA peptidase interacting protein 1 [Source:MGI Symbol;Acc:MGI:1915365]"
"ENSMUSG00000025978","Rftn2","raftlin family member 2 [Source:MGI Symbol;Acc:MGI:1921263]"
"ENSMUSG00000025979","Mob4","MOB family member 4, phocein [Source:MGI Symbol;Acc:MGI:104899]"
"ENSMUSG00000025980","Hspd1","heat shock protein 1 (chaperonin) [Source:MGI Symbol;Acc:MGI:96242]"
"ENSMUSG00000025981","Coq10b","coenzyme Q10B [Source:MGI Symbol;Acc:MGI:1915126]"
"ENSMUSG00000025982","Sf3b1","splicing factor 3b, subunit 1 [Source:MGI Symbol;Acc:MGI:1932339]"
"ENSMUSG00000025983","Ccdc150","coiled-coil domain containing 150 [Source:MGI Symbol;Acc:MGI:1925266]"
"ENSMUSG00000025986","Slc39a10","solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]"
"ENSMUSG00000025993","Slc40a1","solute carrier family 40 (iron-regulated transporter), member 1 [Source:MGI Symbol;Acc:MGI:1315204]"
"ENSMUSG00000025995","Wdr75","WD repeat domain 75 [Source:MGI Symbol;Acc:MGI:1920924]"
"ENSMUSG00000025997","Ikzf2","IKAROS family zinc finger 2 [Source:MGI Symbol;Acc:MGI:1342541]"
"ENSMUSG00000026000","Lancl1","LanC (bacterial lantibiotic synthetase component C)-like 1 [Source:MGI Symbol;Acc:MGI:1336997]"
"ENSMUSG00000026003","Acadl","acyl-Coenzyme A dehydrogenase, long-chain [Source:MGI Symbol;Acc:MGI:87866]"
"ENSMUSG00000026004","Kansl1l","KAT8 regulatory NSL complex subunit 1-like [Source:MGI Symbol;Acc:MGI:1915941]"
"ENSMUSG00000026005","Rpe","ribulose-5-phosphate-3-epimerase [Source:MGI Symbol;Acc:MGI:1913896]"
"ENSMUSG00000026012","Cd28","CD28 antigen [Source:MGI Symbol;Acc:MGI:88327]"
"ENSMUSG00000026014","Raph1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924550]"
"ENSMUSG00000026017","Carf","calcium response factor [Source:MGI Symbol;Acc:MGI:2182269]"
"ENSMUSG00000026018","Ica1l","islet cell autoantigen 1-like [Source:MGI Symbol;Acc:MGI:1917625]"
"ENSMUSG00000026019","Wdr12","WD repeat domain 12 [Source:MGI Symbol;Acc:MGI:1927241]"
